id,per.capita,white.per.capita,black.per.capita,native.american.per.capita,asian.per.capita,pacific.islander.per.capita,other.per.capita,two.races.per.capita,hisp.per.capita,non.hisp.per.capita
18003010500,26256,25993,-,35132,20085,-,-,-,-,25993
18003010601,26772,27125,19226,N,28795,-,-,14289,42196,26723
18003010602,21623,21917,14931,N,N,-,N,-,N,21917
18003010603,23488,26527,-,-,13538,-,4699,N,13481,26492
18003010604,16546,18196,-,-,-,-,8732,17870,8663,18537
18003010705,29265,30104,40453,-,5683,-,21095,2744,16202,30968
18003010706,24648,24553,34211,N,24283,-,20030,7884,16781,25050
18003010707,34526,35753,21682,-,43110,-,N,22173,9829,35917
18003010803,26909,27451,34747,N,N,-,3353,11082,2849,27451
18003010804,24946,25144,38075,-,36865,N,13424,7737,15216,25496
18003010807,25432,25216,20630,-,73817,-,882,N,5598,25352
18003010808,30286,30592,17933,-,23065,-,23644,53534,15859,30805
18003010809,25070,24905,29429,1093,233888,-,N,864,25365,24779
18003010811,23146,23873,31981,-,-,-,-,5679,15903,24056
18003010812,29171,29856,21166,-,51449,-,N,15324,9345,29842
18003010813,22062,22951,22188,-,35420,-,7821,10844,7780,24280
18003010815,29878,30119,48950,-,32623,-,20717,20347,12691,30200
18003010816,35616,37629,24638,N,N,-,-,N,-,37629
18003010817,27061,27822,15375,N,48863,-,12924,N,12059,28623
18003010819,27891,27062,14915,N,298483,-,N,7321,24308,27206
18003010821,21542,22476,19939,-,14933,-,N,N,35748,22060
18003010900,22696,23063,N,-,N,-,N,7409,7374,23063
18003011000,23851,24504,-,-,-,-,9469,-,9469,24504
18003011100,21894,21883,32718,N,N,-,N,-,14567,22132
18003011201,17483,18040,N,-,-,-,N,N,12945,17945
18003011202,17723,17543,11431,-,37634,-,-,N,N,17473
18003011204,22555,23556,8165,-,-,N,-,-,10825,24007
18003011205,24005,24461,N,-,-,-,18828,-,20815,24152
18003011302,15980,15084,19393,N,5356,-,11867,11009,17369,14913
18003011303,16203,20903,13943,N,11076,-,6609,6236,10027,24058
18003011304,18145,21011,15910,-,12315,-,N,4002,9109,22869
18003011501,25206,26857,3852,-,7721,-,N,11386,31817,26867
18003011502,27444,28166,N,-,13061,-,N,N,7439,29200
18003011603,41048,42210,21369,-,60591,-,N,8871,29204,42889
18003011604,31288,31542,39346,-,19091,-,N,16783,20401,32108
18003011605,38235,38659,34008,-,N,-,-,-,24179,39065
18003011606,41666,46006,12488,-,24840,-,-,-,17107,47127
18003011607,28096,28359,19890,-,25234,-,34621,N,24195,28723
18003011608,55736,54287,11037,-,75358,-,13587,19282,10656,55181
18003011609,49002,49453,-,-,58758,-,-,N,-,49453
18003011701,36447,36643,N,N,-,-,-,13316,N,36711
18003011702,22964,23997,15354,-,-,-,N,12465,9749,24189
18003011801,28287,28505,24778,-,-,-,-,N,14607,28833
18003011802,23668,24549,-,-,-,-,N,N,11802,24761
18003011900,20756,20809,-,-,-,-,N,29338,17542,20761
18003980001,9900,9900,-,-,-,-,-,-,-,9900
18003980002,20189,34266,-,N,-,-,-,-,-,34266
18005010100,18484,18115,21248,N,N,-,15818,14403,13786,18870
18005010200,26969,27284,20045,-,29117,-,515,N,1259,27488
18005010300,44984,46231,27019,N,43093,-,-,N,50156,46158
18005010400,25631,26316,34737,22390,15785,-,N,N,5739,27475
18005010500,29369,29304,48636,-,41646,-,-,14964,30396,29282
18005010600,25961,26231,36445,N,29142,-,N,9910,51918,25794
18005010700,16261,14807,16706,N,31397,-,51384,N,13615,14748
18005010800,15170,13652,N,N,23589,-,N,N,3185,15043
18005010900,48299,48036,96870,N,45151,-,-,N,155873,44371
18005011000,37449,37576,N,-,54983,-,-,N,N,37789
18005011100,20364,20459,N,-,-,-,18199,18110,14984,21273
18005011200,21402,21454,-,-,N,-,-,21540,-,21454
18005011300,29540,29704,N,N,N,-,N,N,N,29704
18005011400,26059,26431,N,-,-,-,22853,-,17104,28459
18005011500,22720,23672,20102,31507,26854,-,4493,4842,6981,23651
18007100100,21516,21692,-,N,-,-,-,6494,16198,21779
18007100200,24425,24483,-,N,-,-,-,N,20945,24516
18007100300,19425,20164,9785,-,-,-,12205,2547,9970,21284
18009975100,22983,23087,-,-,N,-,N,-,7539,23165
18009975200,21110,20718,-,-,-,-,-,32753,N,20786
18009975300,19836,20239,-,N,-,-,-,7472,13841,20329
18009975400,22881,22940,30923,-,-,-,-,-,12981,22955
18011810100,27423,28036,-,-,-,-,-,14174,-,28069
18011810200,28186,28066,-,-,-,-,N,N,20644,28096
18011810300,27120,27215,N,-,-,-,-,-,20711,27362
18011810400,18115,18665,N,-,-,-,4947,N,6016,18891
18011810500,23740,24238,-,-,6121,-,-,-,10135,24532
18011810601,39831,39594,-,N,31183,-,N,N,34287,40050
18011810603,48780,50376,18228,-,41022,-,30969,8954,23831,51145
18011810604,96417,99183,-,-,70433,-,N,-,21784,100374
18011810605,41870,42377,33226,-,37489,-,-,32868,33133,42499
18011810700,29075,29596,-,-,8965,-,29554,32,42233,29463
18013974600,23116,23117,-,N,N,-,-,-,12365,23423
