id,pov,pov.m,pov.f,non.pov,non.pov.m,non.pov.f,pov.white,pov.white.m,pov.white.f,non.pov.white,non.pov.white.m,non.pov.white.f,pov.black,pov.black.m,pov.black.f,non.pov.black,non.pov.black.m,non.pov.black.f,pov.native,pov.native.m,pov.native.f,non.pov.native,non.pov.native.m,non.pov.native.f,pov.asian,pov.asian.m,pov.asian.f,non.pov.asian,non.pov.asian.m,non.pov.asian.f,pov.pacific,pov.pacific.m,pov.pacific.f,non.pov.pacific,non.pov.pacific.m,non.pov.pacific.f,pov.other,pov.other.m,pov.other.f,non.pov.other,non.pov.other.m,non.pov.other.f,pov.mixed,pov.mixed.m,pov.mixed.f,non.pov.mixed,non.pov.mixed.m,non.pov.mixed.f,pov.whitenonhisp,pov.whitenonhisp.m,pov.whitenonhisp.f,non.pov.whitenonhisp,non.pov.whitenonhisp.m,non.pov.whitenonhisp.f,pov.hisp,pov.hisp.m,pov.hisp.f,non.pov.hisp,non.pov.hisp.m,non.pov.hisp.f
18091041400,781,319,462,2970,1467,1503,356,97,259,1768,829,939,425,222,203,934,497,437,0,0,0,19,0,19,0,0,0,82,47,35,0,0,0,0,0,0,0,0,0,106,63,43,0,0,0,61,31,30,310,97,213,1715,803,912,46,0,46,128,67,61
18091041500,177,27,150,4767,2454,2313,177,27,150,4520,2248,2272,0,0,0,144,144,0,0,0,0,14,14,0,0,0,0,60,28,32,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,9,0,9,177,27,150,4390,2170,2220,0,0,0,130,78,52
18091041600,515,198,317,5604,2935,2669,500,198,302,5416,2836,2580,0,0,0,51,22,29,5,0,5,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,61,49,12,10,0,10,61,28,33,469,183,286,5373,2813,2560,31,15,16,132,72,60
18091041700,307,150,157,3109,1668,1441,287,132,155,3039,1624,1415,0,0,0,62,36,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,8,8,0,9,9,0,0,0,0,287,132,155,3022,1607,1415,18,18,0,25,25,0
18091041800,1006,340,666,4919,2452,2467,832,277,555,4900,2439,2461,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,38,111,0,0,0,18,18,0,19,13,6,647,191,456,4505,2241,2264,334,124,210,395,198,197
18091041900,233,83,150,4855,2544,2311,178,52,126,4755,2472,2283,0,0,0,74,59,15,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31,24,13,13,0,178,52,126,4680,2428,2252,0,0,0,75,44,31
18091042000,326,61,265,2026,1109,917,315,61,254,1885,1030,855,0,0,0,47,11,36,11,0,11,4,0,4,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,38,30,8,223,35,188,1781,980,801,92,26,66,178,110,68
18091042100,1035,404,631,5663,2919,2744,986,400,586,5086,2607,2479,45,0,45,100,20,80,4,4,0,5,5,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,207,67,140,0,0,0,231,220,11,986,400,586,4444,2274,2170,0,0,0,972,494,478
18091042200,489,238,251,2792,1413,1379,437,230,207,2607,1307,1300,15,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,74,79,37,0,37,25,25,0,375,197,178,2607,1307,1300,62,33,29,153,74,79
18091042300,267,96,171,1582,855,727,261,96,165,1460,810,650,0,0,0,118,41,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,4,0,237,81,156,1460,810,650,24,15,9,0,0,0
18091042400,1089,408,681,5856,2720,3136,1034,399,635,5712,2650,3062,30,9,21,60,20,40,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,67,50,17,25,0,25,0,0,0,854,306,548,5559,2563,2996,180,93,87,220,137,83
18091042500,534,266,268,4427,2363,2064,507,239,268,4343,2315,2028,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,57,24,33,0,0,0,17,14,3,435,219,216,4275,2287,1988,72,20,52,125,52,73
18091042600,421,176,245,4699,2516,2183,421,176,245,4611,2472,2139,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,22,0,0,0,48,28,20,421,176,245,4455,2405,2050,0,0,0,170,67,103
18091042700,317,130,187,4963,2519,2444,277,122,155,4867,2468,2399,5,0,5,47,26,21,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,27,44,24,20,275,122,153,4742,2379,2363,37,8,29,148,112,36
18091042800,285,125,160,2699,1435,1264,285,125,160,2631,1398,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,31,23,0,0,0,14,6,8,285,125,160,2620,1398,1222,0,0,0,65,31,34
18091042900,225,92,133,3522,1782,1740,200,87,113,3420,1753,1667,5,5,0,21,12,9,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,3,0,3,20,0,20,71,17,54,200,87,113,3368,1711,1657,0,0,0,74,55,19
18091043000,752,428,324,1826,807,1019,328,197,131,1117,514,603,232,94,138,582,270,312,4,0,4,3,3,0,0,0,0,91,20,71,0,0,0,0,0,0,112,99,13,0,0,0,76,38,38,33,0,33,319,188,131,1053,478,575,146,108,38,81,36,45
18091990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18093950400,323,132,191,3134,1517,1617,292,125,167,3134,1517,1617,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,292,125,167,3134,1517,1617,0,0,0,0,0,0
18093950500,434,152,282,4625,2412,2213,434,152,282,4598,2412,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,434,152,282,4598,2412,2186,0,0,0,0,0,0
18093950600,930,393,537,6465,3244,3221,868,393,475,6392,3199,3193,7,0,7,33,20,13,55,0,55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,35,20,15,866,393,473,6392,3199,3193,2,0,2,14,2,12
18093950700,1182,626,556,5868,2942,2926,1136,603,533,5733,2870,2863,0,0,0,7,7,0,0,0,0,94,56,38,0,0,0,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,46,23,23,16,0,16,1136,603,533,5733,2870,2863,0,0,0,0,0,0
18093950800,771,255,516,2951,1568,1383,715,235,480,2875,1517,1358,0,0,0,7,7,0,0,0,0,0,0,0,56,20,36,69,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,229,480,2776,1441,1335,6,6,0,99,76,23
18093950900,605,217,388,1891,991,900,576,199,377,1891,991,900,8,8,0,0,0,0,10,10,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,199,377,1869,969,900,0,0,0,22,22,0
18093951000,579,248,331,3230,1602,1628,569,238,331,3076,1503,1573,10,10,0,71,31,40,0,0,0,0,0,0,0,0,0,19,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,569,238,331,2907,1417,1490,0,0,0,169,86,83
18093951100,407,212,195,2476,1297,1179,407,212,195,2403,1243,1160,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,17,13,4,407,212,195,2391,1231,1160,0,0,0,12,12,0
18093951200,898,336,562,4965,2646,2319,818,307,511,4760,2539,2221,0,0,0,38,32,6,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,80,29,51,31,10,21,0,0,0,128,65,63,818,307,511,4592,2434,2158,0,0,0,189,105,84
18093951300,1070,417,653,2801,1335,1466,1055,417,638,2782,1316,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,19,19,0,1010,407,603,2771,1316,1455,60,10,50,11,0,11
18095000300,844,409,435,1668,869,799,447,185,262,1436,744,692,254,125,129,133,100,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,93,25,68,120,99,21,6,0,6,419,185,234,1399,707,692,51,0,51,130,62,68
18095000400,626,226,400,1511,763,748,376,139,237,512,262,250,250,87,163,811,438,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,182,57,125,376,139,237,512,262,250,0,0,0,6,6,0
18095000500,1214,479,735,1976,945,1031,523,223,300,1412,645,767,559,188,371,490,242,248,10,10,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,50,22,28,9,9,0,72,36,36,49,49,0,442,196,246,1331,594,737,131,49,82,90,60,30
18095000800,854,245,609,1496,866,630,746,216,530,1202,680,522,0,0,0,153,97,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,10,10,0,59,29,30,131,79,52,722,216,506,1165,664,501,81,8,73,47,26,21
18095000900,629,278,351,1499,706,793,585,246,339,1288,613,675,35,23,12,54,5,49,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,7,0,7,0,0,0,115,67,48,9,9,0,21,21,0,585,246,339,1268,601,667,0,0,0,149,79,70
18095001000,862,354,508,2066,988,1078,594,199,395,1881,888,993,188,117,71,133,77,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,17,42,29,15,14,21,21,0,23,8,15,523,128,395,1831,848,983,120,78,42,50,40,10
18095001100,829,452,377,1119,544,575,567,391,176,959,487,472,80,0,80,95,53,42,0,0,0,0,0,0,15,15,0,20,4,16,0,0,0,0,0,0,115,43,72,37,0,37,52,3,49,8,0,8,440,288,152,915,472,443,242,146,96,81,15,66
18095001200,340,148,192,2742,1133,1609,305,140,165,2479,1055,1424,35,8,27,125,29,96,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,49,74,305,140,165,2437,1023,1414,0,0,0,108,32,76
18095001300,364,209,155,3999,1910,2089,224,103,121,3676,1752,1924,140,106,34,253,140,113,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,39,8,31,224,103,121,3631,1719,1912,0,0,0,67,41,26
18095001400,802,260,542,3588,1773,1815,789,247,542,3177,1579,1598,0,0,0,55,16,39,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,32,42,0,0,0,282,146,136,789,247,542,3110,1552,1558,0,0,0,205,101,104
18095001500,418,252,166,3456,1639,1817,409,243,166,2900,1371,1529,9,9,0,261,149,112,0,0,0,0,0,0,0,0,0,28,13,15,0,0,0,0,0,0,0,0,0,33,13,20,0,0,0,234,93,141,399,233,166,2900,1371,1529,10,10,0,19,6,13
18095001600,219,133,86,2495,1123,1372,148,78,70,2444,1083,1361,0,0,0,22,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,46,16,11,11,0,9,9,0,18,11,7,148,78,70,2420,1077,1343,62,46,16,35,17,18
18095001700,703,323,380,3225,1688,1537,278,124,154,2010,947,1063,425,199,226,1033,650,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,57,54,0,0,0,71,34,37,248,112,136,1998,943,1055,30,12,18,90,40,50
